"num";"repro_nostopwords"
1;"A couple  Iowa discovered   many beehives  destroyed. After investigating  scene,  police  able  discover   main suspects  two minors. The minors  charged   variety  crimes. However,   alleged suspects  minors,  police  announced   may face less severe charges. The police  also asked  people avoid jumping  conclusions."
2;"Some Internet users  Spain  notified    infringing laws  distributing pornographic content, demanding payment. However,  notifications   part   scam  later revealed  . When  police investigated  issue,   able  track  two individuals      Internet cafe. Footage   two  deemed   reliable."
3;"There   series  multiple arsons  Bavaria, Germany. The arsons created much material damage,   police  quick  investigate  perpetrator. Because original investigations  fruitless,  police  turned   public  help, offering  monetary reward. Then,  specific shirt   perpetrator turned ,   specialized design. In  way,  police arrested  man. Because   physical evidence,   indubitable   suspect  guilty."
4;"Police  able  discover  group  exotic birds    illegally transported,  likely   sold  exotic pets. After investigation,  police  able  arrest  ring carrying   crime. Because  eyewitness testimonial   fact   suspects' testimonies  inconsistencies,    likely  suspects  indeed guilty."
5;"A professor   neuroscience department  accused  sexual misconduct. Apparently,  professor  received sexual favors  return  quid pro quo actions,   participated  unprofessional acts. Investigations  underway   external firm,    professor  found   guilty   actions,  may  suspended  even fired,   rare   tenured professor. However,  testimonies   100 students,   investigation  based  , may  less reliable  previously thought."
6;"In late December 2017,  couple  Iowa went  check   beehives.  They found  tragic scene:   hives   overturned   equipment  facilities   ransacked.  A  weeks later,  police arrested  12-y.o.  13-y.o.   crime.  They  charged  multiple offenses,  fines   $100,000    10 years  prison, yet   tried  minors.  The trial  happened yet,   seem guilty."
7;"A professor   neuroscience department  Corsen University named John Smith   charged  sexual harassment  11   former female graduate students.  Apparently,  made inappropriate comments   way women dressed  held nude hot-tub parties   students.  A third-party legal firm   hired  investigate,    point  100 people  testified regarding Prof. Smith's character.  It  possible    placed  leave  even fired,   unheard   tenured professors."
8;"Thanks   routine cargo check,  Indonesian police  able  prevent  smuggling attempt.  They found  150 exotic birds stored  plastic drain pipes   cargo ship.  They suspect   birds  intended   sold   US  pets,   valued  ~$10,000 dollars.  Four men   arrested,  face   eight years  prison.  So far,  case  rested primarily  eye-witness testimonies,    inconsistent."
9;"On August 30th 2018, 30,000 internet users  Spain received  email   subject line ""Response Required - Copyright Infringement.""  The email accused   distributing pornographic material  demanded  $11,700 fine.  An internet search   law firm ostensibly associated   email returned  credible law firm.  However,  law firm soon identified  announced  email   hoax.  The police eventually tracked   internet cafe    message  sent.  Video   cafe implicate  52-year-old man   52-year-old woman.  The video  grainy,   hard  make  firm accusations.  It  now four weeks later,  around 5%   recipients  paid  money,  totals  around $17 million.  If convicted,  suspects face   7 years  prison."
10;"Since mid-April 2018,  region  Bavaria, Germany  faced several arson incidents.  Trash cans, cars,  even  house   lit  fire.  The damage  estimated  cost   $450,000.  The police   offer  $6,000 reward  solicit information   public.  A crumpled  black t-shirt   unique design may   critical piece  evidence.  A 37-year-old man   arrested  association   incidents,  faces   8 years  prison  arson.  However,  police    good evidence implicating  man currently charged."
